"","title","artist","price","classification","url"
"1","Hanging Out","Eric Fan","$20","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/hanging-out-eric-fan.jpg"
"2","The Button","H James Hoff","$42","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/the-button-h-james-hoff.jpg"
"3","Far And Wide","Eric Fan","$20","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/far-and-wide-eric-fan.jpg"
"4","Food Masquerade","Freshinkstain","$22","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/food-masquerade-freshinkstain-.jpg"
"5","Crow Drawing","Steve Goad","$27","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/crow-drawing-steve-goad.jpg"
"6","Queen Of Butterflies","Olga Shvartsur","$27","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/queen-of-butterflies-olga-shvartsur.jpg"
"7","Looking Back","Glen Powell","$6,000","Original","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/looking-back-glen-powell.jpg"
"8","Not Thinking About You","Michael Scholl","$22","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/not-thinking-about-you-michael-scholl.jpg"
"9","Liger  Swift Hand","David Starr","$32","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/liger-swift-hand-david-f-starr.jpg"
"10","No.17","Jeremy Lacy","$22","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/no17-jeremy-lacy.jpg"
"11","DJ","Mon Graffito","$200","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/dj-mon-graffito.jpg"
"12","Raspberry","Kalie Hoodhood","$25","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/raspberry-kalie-hoodhood.jpg"
