"","Artista","Nombre_Obra","Precio","Año","Galeria","Imagen","Medio"
"1","Salvatore Nobili","The Martyrdom of Saint Valeria and Saint Martial","985,000 US$","1895","M.S. Rau Antiques","http://images.artnet.com/artwork_images_892_864643_resize_salvatore-nobili.asp?width=130&maxheight=130","escultura"
"5","Albert Cheuret","Console","300,000-400,000 US$","circa 1925","Kelly Gallery","http://images.artnet.com/artwork_images_425935143_865877_resize_albert-cheuret.asp?width=130&maxheight=130","escultura"
"6","Donato Barcaglia","Children at Play","228,500 US$","circa 1874","M.S. Rau Antiques","http://images.artnet.com/artwork_images_892_1126550_resize_donato-barcaglia.asp?width=130&maxheight=130","escultura"
"8","Pablo Picasso","Femme assise","150,000-175,000 EUR (184,026-186,567 US$)","1908","BAILLY GALLERY","http://images.artnet.com/artwork_images_425936399_1097466_resize_pablo-picasso.asp?width=130&maxheight=130","escultura"
"9","Jules-Felix Coutan","Music","165,000 US$","circa 1880","M.S. Rau Antiques","http://images.artnet.com/artwork_images_892_1126561_resize_jules-felix-coutan.asp?width=130&maxheight=130","escultura"
"16","Eric Fischl","Untitled (Tumbling Woman II)","125,000 US$","2015","HEXTON Modern and Contemporary","http://images.artnet.com/artwork_images_425936618_1028328_resize_eric-fischl.asp?width=130&maxheight=130","escultura"
"17","Auguste Rodin","Néréides, grand modèle","100,000-150,000 EUR (122,684-159,915 US$)","1968","BAILLY GALLERY","http://images.artnet.com/artwork_images_425936399_1067837_resize_auguste-rodin.asp?width=130&maxheight=130","escultura"
"21","Iole De Freitas","Untitled","100,000 US$","2010","Galeria Raquel Arnaud","http://images.artnet.com/artwork_images_424668930_743422_resize_iole-de-freitas.asp?width=130&maxheight=130","escultura"
"23","Waltercio Caldas","Naipe (Suit)","100,000 US$","2008","Galeria Raquel Arnaud","http://images.artnet.com/artwork_images_424668930_746167_resize_waltercio-caldas.asp?width=130&maxheight=130","escultura"
"24","Jean Dunand","Two-Handled Lacquered Tray Table","100,000 US$","1925","Kelly Gallery","http://images.artnet.com/artwork_images_425935143_906515_resize_jean-dunand.asp?width=130&maxheight=130","escultura"
"25","Léon Albert Marie de Leyritz","Black Patinated Lap Cubistic Stone Sculpture of Male Nude","100,000 US$","circa 1928","Kelly Gallery","http://images.artnet.com/artwork_images_425935143_943386_resize_leon-albert-marie-de-leyritz.asp?width=130&maxheight=130","escultura"
"28","Susumu Shingu","Arbre flottant","80,000 EUR (98,147 US$)","2006","Galerie Jeanne Bucher Jaeger","http://images.artnet.com/artwork_images_423940689_721515_resize_susumu-shingu.asp?width=130&maxheight=130","escultura"
"31","Ossip Zadkine","La femme inconnue","75,000-100,000 EUR (92,013-106,610 US$)","1966","BAILLY GALLERY","http://images.artnet.com/artwork_images_425936399_1112328_resize_ossip-zadkine.asp?width=130&maxheight=130","escultura"
"33","Ferdinand Parpan","Le grand taureau chargeant","75,000-100,000 EUR (92,013-106,610 US$)","1961","BAILLY GALLERY","http://images.artnet.com/artwork_images_425936399_1070881_resize_ferdinand-parpan.asp?width=130&maxheight=130","escultura"
"41","Eric Fischl","Untitled (Tumbling Woman)","79,000 US$","2012","HEXTON Modern and Contemporary","http://images.artnet.com/artwork_images_425936618_1028327_resize_eric-fischl.asp?width=130&maxheight=130","escultura"
"42","Eric Fischl","Untitled (Arching Woman)","79,000 US$","2011","HEXTON Modern and Contemporary","http://images.artnet.com/artwork_images_425936618_1016501_resize_eric-fischl.asp?width=130&maxheight=130","escultura"
"45","Kenneth Armitage","Table E","55,000 GBP (77,356 US$)","1969","Goldmark Gallery","http://images.artnet.com/artwork_images_134590_824750_resize_kenneth-armitage.asp?width=130&maxheight=130","escultura"
"52","Aya Toshikawa","""SHUYA5"" Serie of 5 LOVEDOLLS 130cm","75,000-100,000 US$","2015","Galerie Jacob Paulett","http://images.artnet.com/artwork_images_425936611_1021973_resize_aya-toshikawa.asp?width=130&maxheight=130","escultura"
"53","Aya Toshikawa","""YUMI2"" . Serie of 5 ""LoveDolls""","75,000-100,000 US$","2015","Galerie Jacob Paulett","http://images.artnet.com/artwork_images_425936611_1021976_resize_aya-toshikawa.asp?width=130&maxheight=130","escultura"
"55","Louis (Pierre) Rigal","Female Nude","75,000-100,000 US$","1924","Kelly Gallery","http://images.artnet.com/artwork_images_425935143_931672_resize_louis-pierre-rigal.asp?width=130&maxheight=130","escultura"
"56","Sandra Cinto","Untitled","75,000 US$","2016","Graphicstudio/U.S.F.","http://images.artnet.com/artwork_images_3274519_1072043_resize_sandra-cinto.asp?width=130&maxheight=130","escultura"
"59","Ann Christopher","The Lines Remain","50,000 GBP (70,323 US$)","1991","Pangolin London","http://images.artnet.com/artwork_images_425918258_1074550_resize_ann-christopher.asp?width=130&maxheight=130","escultura"
"64","Gianfranco Meggiato","Stella del Sud","65,000 US$","2015","Boccara Art","http://images.artnet.com/artwork_images_425936954_1142303_resize_gianfranco-meggiato.asp?width=130&maxheight=130","escultura"
"65","Charles Hinman","Sprinter","65,000 US$","1980","Vertu Fine Art","http://images.artnet.com/artwork_images_424570465_825650_resize_charles-hinman.asp?width=130&maxheight=130","escultura"
"66","Eric Fischl","Squatting Woman With Hand Up","65,000 US$","2016","HEXTON Modern and Contemporary","http://images.artnet.com/artwork_images_425936618_1092601_resize_eric-fischl.asp?width=130&maxheight=130","escultura"
"67","Eric Fischl","Dancer","65,000 US$","2007","HEXTON Modern and Contemporary","http://images.artnet.com/artwork_images_425936618_1092602_resize_eric-fischl.asp?width=130&maxheight=130","escultura"
"68","Eric Fischl","Squatting Woman With Hand Up","65,000 US$","2012","HEXTON Modern and Contemporary","http://images.artnet.com/artwork_images_425936618_1092610_resize_eric-fischl.asp?width=130&maxheight=130","escultura"
"69","Antonio Piazza","Carrara Figure","64,500 US$","circa 1890","M.S. Rau Antiques","http://images.artnet.com/artwork_images_892_1135757_resize_antonio-piazza.asp?width=130&maxheight=130","escultura"
"70","Goldscheider (Co.)","Boy Fishing Terracotta Statue","64,500 US$","circa 1893","M.S. Rau Antiques","http://images.artnet.com/artwork_images_892_1118139_resize_goldscheider-co.asp?width=130&maxheight=130","escultura"
"71","Frank Dobson","Rhoda","45,000 GBP (63,291 US$)","1930","Goldmark Gallery","http://images.artnet.com/artwork_images_134590_1039811_resize_frank-dobson.asp?width=130&maxheight=130","escultura"
"72","Frank Dobson","Squatting Female Figure with Pitcher","45,000 GBP (63,291 US$)","1944","Goldmark Gallery","http://images.artnet.com/artwork_images_134590_1044459_resize_frank-dobson.asp?width=130&maxheight=130","escultura"
"73","Ossip Zadkine","Femme accroupie","50,000-75,000 EUR (61,342-84,251 US$)","circa 1937","BAILLY GALLERY","http://images.artnet.com/artwork_images_425936399_1130922_resize_ossip-zadkine.asp?width=130&maxheight=130","escultura"
"75","Jacques Hérold","La forêt","50,000-75,000 EUR (61,342-79,957 US$)","1946","BAILLY GALLERY","http://images.artnet.com/artwork_images_425936399_1092432_resize_jacques-herold.asp?width=130&maxheight=130","escultura"
"76","Susumu Shingu","Astral Rhythm","50,000 EUR (61,342 US$)","2012","Galerie Jeanne Bucher Jaeger","http://images.artnet.com/artwork_images_423940689_761480_resize_susumu-shingu.asp?width=130&maxheight=130","escultura"
"81","Émile Louis Picault","La Défense Du Foyer","58,500 US$","circa 1890","M.S. Rau Antiques","http://images.artnet.com/artwork_images_892_1118170_resize_emile-louis-picault.asp?width=130&maxheight=130","escultura"
"85","Ann Christopher","The Edge of Light","40,000-50,000 GBP (56,259-62,251 US$)","2002","Pangolin London","http://images.artnet.com/artwork_images_425918258_472315_resize_ann-christopher.asp?width=130&maxheight=130","escultura"
