"","artist","title","price","classification","url"
"1","Eric Fan","Hanging Out","$20","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/hanging-out-eric-fan.jpg"
"2","H James Hoff","The Button","$42","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/the-button-h-james-hoff.jpg"
"3","Eric Fan","Far And Wide","$20","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/far-and-wide-eric-fan.jpg"
"4","Freshinkstain","Food Masquerade","$22","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/food-masquerade-freshinkstain-.jpg"
"5","Steve Goad","Crow Drawing","$27","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/crow-drawing-steve-goad.jpg"
"6","Olga Shvartsur","Queen Of Butterflies","$27","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/queen-of-butterflies-olga-shvartsur.jpg"
"7","Glen Powell","Looking Back","$6,000","Original","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/looking-back-glen-powell.jpg"
"8","Michael Scholl","Not Thinking About You","$22","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/not-thinking-about-you-michael-scholl.jpg"
"9","David Starr","Liger  Swift Hand","$32","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/liger-swift-hand-david-f-starr.jpg"
"10","Jeremy Lacy","No.17","$22","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/no17-jeremy-lacy.jpg"
"11","Mon Graffito","DJ","$200","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/dj-mon-graffito.jpg"
"12","Kalie Hoodhood","Raspberry","$25","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/raspberry-kalie-hoodhood.jpg"
"13","Kim Niles","Best Buddies Come In All Sizes","$32","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/best-buddies-come-in-all-sizes-kim-niles.jpg"
"14","Matthew Ridgway","Mandala Bouquet","$17","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/mandala-bouquet-matthew-ridgway.jpg"
"15","Brent Ander","Please","$2,200","Original","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/please-brent-ander.jpg"
"16","Keith Tucker","Homage To Tiki","$22","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/homage-to-tiki-keith-tucker.jpg"
"17","David Lloyd Glover","B B King And Lucille","$300","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/1-b-b-king-and-lucille-david-lloyd-glover.jpg"
"18","Ethan Harris","The Ravenous Pregnancy","$200","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/the-ravenous-pregnancy-ethan-harris.jpg"
"19","Peter Piatt","Empty Pockets","$900","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/empty-pockets-peter-piatt.jpg"
"20","Cristophers Dream Artistry","Mr. Moon","$200","Original","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/mr-moon-cristophers-dream-artistry.jpg"
"21","Barbara Keith","Maestro","$17","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/maestro-barbara-keith.jpg"
