"","artist","title","price","classification","url"
"1","Karen Koch","Garden Gate","$22","Mixed Media","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/garden-gate-karen-koch.jpg"
"2","Marvin Blaine","Cool Cat Art Collection","$37","Mixed Media","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/3-cool-cat-art-collection-marvin-blaine.jpg"
"3","Tom Druin","Aswirl","$28","Mixed Media","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/aswirl-tom-druin.jpg"
"4","Russell Pierce","Tipsy The Clown","$42","Mixed Media","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/tipsy-the-clown-russell-pierce.jpg"
"5","John DiSanza","Art For The 21st Century","$22","Print","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/art-for-the-21st-century-john-disanza.jpg"
"6","Pamela Johnson","Beautiful Vatican City Flag","$800","Original","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/beautiful-vatican-city-flag-pamela-johnson.jpg"
"7","Ping Yan","Plum","$27","Mixed Media","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/2-plum-ping-yan.jpg"
"8","Amitabh Dayal","Whit Lily In Dark","$22","Mixed Media","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/whit-lily-in-dark-amitabh-dayal.jpg"
"9","Patti Schulze","Ring Of Life","$42","Mixed Media","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/ring-of-life-patti-schulze.jpg"
"10","G Berry","Fox Sound Asleep","$27","Mixed Media","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/fox-sound-asleep-g-berry.jpg"
"11","Studio Grafiikka","Canadian Pacific Airlines - Straight To The Point - Retro Travel Poster - Vintage Poster","$22","Mixed Media","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/canadian-pacific-airlines-straight-to-the-point-retro-travel-poster-vintage-poster-studio-grafiikka.jpg"
"12","Work Of Arts","Sacred Herb Plant","$20","Mixed Media","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/sacred-herb-plant-work-of-arts.jpg"
"13","Teresa Zieba","Floral Impression","$32","Mixed Media","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/floral-impression-teresa-zieba.jpg"
"14","Marvin Blaine","2 Chainz Collection","$24","Mixed Media","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/1-2-chainz-collection-marvin-blaine.jpg"
"15","Juan Mildenberger","Untitled","$37","Mixed Media","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/106-untitled-juan-mildenberger.jpg"
