"","artist","title","price","classification","url"
"1","Sir Edwin Landseer","Monarch Of The Glen","$17","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/monarch-of-the-glen-sir-edwin-landseer.jpg"
"2","Christopher Triner","Cornice","$24","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/cornice-christopher-triner.jpg"
"3","Sue Halstenberg","War Horse And Peace Horse","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/war-horse-and-peace-horse-sue-halstenberg.jpg"
"4","Wade Meyers","One Of The Few","$15","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/one-of-the-few-wade-meyers.jpg"
"5","David Stribbling","African Wild Dogs","$32","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/african-wild-dogs-david-stribbling.jpg"
"6","August Schlieker","A Small Town In The Rhine","$17","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-small-town-in-the-rhine-august-schlieker.jpg"
"7","Douglas MooreZart","Daily Illuminations","$13","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/daily-illuminations-douglas-moorezart.jpg"
"8","Scott Listfield","The Runway","$17","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/the-runway-scott-listfield.jpg"
"9","Adrian Borda","Life Is  Dance In The Rain","$17","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/life-is-dance-in-the-rain-adrian-borda.jpg"
"10","Derek Kaplan","Opt.66.16 A New Day","$26","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/opt6616-a-new-day-derek-kaplan.jpg"
"11","Kiril Stanchev","Palette Of The Orient","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/palette-of-the-orient-kiril-stanchev.jpg"
"12","Mandy Budan","Ebb And Flow","$4,500","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/ebb-and-flow-mandy-budan.jpg"
"13","Scott Listfield","Rv Dusk","$17","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/rv-dusk-scott-listfield.jpg"
"14","Brent Schreiber","Listen 2","$4,000","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/listen-2-brent-schreiber.jpg"
"15","Richard Hescox","The Eliminators","$500","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/the-eliminators-richard-hescox.jpg"
"16","Tommervik","R2 Deco Art Print","$249","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/1-r2-deco-tommervik.jpg"
"17","Michael Godard","Classic Martini","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/classic-martini-michael-godard.jpg"
"18","Linda Woods","Green Pear- Art By Linda Woods","$405","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/green-pear-art-by-linda-woods-linda-woods.jpg"
"19","Mary Tere Perez","San Juan Alegre-4","$27","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/san-juan-alegre-4-mary-tere-perez.jpg"
"20","Kovacs Anna Brigitta","Big Colorful Elephant","$975","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/1-big-colorful-elephant-kovacs-anna-brigitta.jpg"
"21","Rick Bainbridge","Hanging Around-red Breasted Nuthatch","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/hanging-around-red-breasted-nuthatch-rick-bainbridge.jpg"
"22","Michael Humphries","Harbor Light Hideaway","$300","Original","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/harbor-light-hideaway-michael-humphries.jpg"
"23","Adrienne Romine","Hollow Still Life 1","$42","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/hollow-still-life-1-adrienne-romine.jpg"
"24","Massimo Chioccia","Paolo Fresu","$17","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/paolo-fresu-massimo-chioccia-and-olga-tsarkova.jpg"
"25","Priscilla  Jo","Determination","$21","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/determination-priscilla-jo.jpg"
"26","Karla Gerard","Lakeside1","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/lakeside1-karla-gerard.jpg"
"27","Alexandra Schaefers","On Ivy Hill","$29","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/on-ivy-hill-alexandra-schaefers.jpg"
"28","Anna Rose Bain","Fledglings","$17","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/fledglings-anna-bain.jpg"
"29","Amy Hamilton","Stags // Strong","$32","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/stags-strong-amy-hamilton.jpg"
"30","Joshua Smith","The Hiding Place","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/the-hiding-place-joshua-smith.jpg"
"31","Adam Ford","Three Little Pigs","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/three-little-pigs-adam-ford.jpg"
"32","Pieter Wagemans","Tullips From Holland","$4,150","Original","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/tullips-from-holland-pieter-wagemans.jpg"
"33","Mandy Budan","Summer In The Garden","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/summer-in-the-garden-mandy-budan.jpg"
"34","Charles Rowland","Devonshire Cottage I","$22","Painting","https://fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/devonshire-cottage-i-charles-rowland.jpg"
"35","Sharon Cummings","Never Alone By Sharon Cummings","$22","Print","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/never-alone-by-sharon-cummings-sharon-cummings.jpg"
"36","Helena Rose","Passionate Pursuit","$2,250","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/passionate-pursuit-helena-rose.jpg"
"37","Michael Creese","Gothic Butterflies","$32","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/gothic-butterflies-michael-creese.jpg"
"38","Don  Langeneckert","Rodeo Pickup","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/2-cowboys-don-langeneckert.jpg"
"39","Nik Helbig","Field Of Cats","$27","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/field-of-cats-nik-helbig.jpg"
"40","Crista Forest","Western Horse Painting In Sepia","$37","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/western-horse-in-sepia-crista-forest.jpg"
"41","Meaghan Troup","The Change","$27","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/the-change-meaghan-troup.jpg"
"42","Elise Palmigiani","Sunset Over The Village","$1,500","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/sunset-over-the-village-elise-palmigiani--.jpg"
"43","Graham Braddock","Comfort Those That Mourn","$3,000","Original","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/comfort-those-that-mourn-graham-braddock.jpg"
"44","Graszka Paulska","Im In The Shadow Of You","$17","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-private-5/im-in-the-shadow-of-you-graszka-paulska.jpg"
"45","Guido Borelli","La Cascina Sul Lago","$12,000","Original","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/la-cascina-sul-lago-guido-borelli.jpg"
"46","Roseann Munger","Vermilion","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/vermilion-roseann-munger.jpg"
"47","Mario Pichler","African Buffalo","$57","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/frican-buffalo-mario-pichler.jpg"
"48","Nicklas Gustafsson","Samurai","$27","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/samurai-nicklas-gustafsson.jpg"
"49","Hailey E Herrera","American Buffalo IIi","$27","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/american-buffalo-iii-hailey-e-herrera.jpg"
"50","Erin Hanson","Indian Wells","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/indian-wells-erin-hanson-prints.jpg"
"51","Fremont Thompson","The Occultist","$16","Painting","https://fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/the-occultist-fremont-thompson.jpg"
"52","Steve Goad","Ascension","$27","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/ascension-steve-goad.jpg"
"53","Joel Tesch","Beauty In The Breakdown","$699","Original","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/beauty-in-the-breakdown-joel-tesch.jpg"
"54","Mark Fredrickson","24th Annual Waxdeck's Bird Calling Contest","$20","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/24th-annual-waxdecks-bird-calling-contest-mark-fredrickson.jpg"
"55","Robert Poole","Roadside Of Tomorrow","$52","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/3049-robert-poole.jpg"
"56","Nathan Marcy","Pacific Tree Frog In Skunk Cabbage","$14","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/pacific-tree-frog-in-skunk-cabbage-nathan-marcy.jpg"
